category,name,question
"Resumen y estado","Resumen general","Dame un resumen del estado actual del inventario."
"Resumen y estado","Stock general","Como esta hoy el stock general del hotel?"
"Resumen y estado","Riesgos operativos","Resume los principales riesgos operativos del inventario."
"Resumen y estado","Categorias comprometidas","Que categorias estan mas comprometidas en este momento?"
"Resumen y estado","Desabastecimiento","Hay senales de desabastecimiento inminente?"
"Stock bajo y reabastecimiento","Productos bajos","Que productos estan bajos de stock?"
"Stock bajo y reabastecimiento","Reabastecer primero","Que productos debo reabastecer primero?"
"Stock bajo y reabastecimiento","Compra urgente","Ordena los productos mas urgentes para compra."
"Stock bajo y reabastecimiento","Debajo del minimo","Que productos estan por debajo del stock minimo?"
"Stock bajo y reabastecimiento","Agotados","Que productos estan agotados o casi agotados?"
"Stock bajo y reabastecimiento","Prioridad hoy","Que compras deberia priorizar hoy?"
"Stock bajo y reabastecimiento","Solo 5 productos","Si solo pudiera comprar 5 productos, cuales serian?"
"Consumo y uso","Mas usados","Que productos son los mas usados?"
"Consumo y uso","Consumo promedio","Cuales tienen mayor consumo promedio?"
"Consumo y uso","Mayor rotacion","Que productos muestran mayor rotacion?"
"Consumo y uso","Salen mas rapido","Que productos salen mas rapido del inventario?"
"Consumo y uso","Alto consumo y poco stock","Que articulos tienen alto consumo pero poco stock?"
"Consumo y uso","Alto uso y alto riesgo","Que productos combinan alto uso con alto riesgo de agotarse?"
"Movimientos recientes","Resumen movimientos","Resume los movimientos recientes del inventario."
"Movimientos recientes","Cambios importantes","Que cambios importantes hubo en los ultimos movimientos?"
"Movimientos recientes","Mas salidas","Que productos tuvieron mas salidas recientemente?"
"Movimientos recientes","Explican stock bajo","Que movimientos podrian explicar el stock bajo actual?"
"Movimientos recientes","Patron preocupante","Ves un patron preocupante en los movimientos recientes?"
"Movimientos recientes","Areas consumiendo mas","Que areas o tipos de movimiento estan consumiendo mas insumos?"
"Alertas","Alertas abiertas","Que alertas de stock bajo estan abiertas?"
"Alertas","Atencion inmediata","Que alertas requieren atencion inmediata?"
"Alertas","Alertas persistentes","Que productos tienen alertas repetidas o persistentes?"
"Alertas","Impacto operativo","Resume las alertas activas y su impacto operativo."
"Alertas","Mala planificacion","Que alertas sugieren mala planificacion de reposicion?"
"Proveedores","Proveedores criticos","Que proveedores estan asociados a los productos mas criticos?"
"Proveedores","Mismo proveedor","Que productos criticos dependen del mismo proveedor?"
"Proveedores","Contactar primero","Que proveedor deberia contactarse primero segun el riesgo actual?"
"Proveedores","Resumen alto consumo","Resume los proveedores vinculados a productos de alto consumo."
"Proveedores","Concentracion de riesgo","Hay concentracion de riesgo en pocos proveedores?"
"Areas del hotel","Mas movimientos","Que areas del hotel estan relacionadas con mas movimientos?"
"Areas del hotel","Mas consumo","Que areas parecen consumir mas insumos?"
"Areas del hotel","Mas expuestas","Que areas estan mas expuestas a quiebres de stock?"
"Areas del hotel","Relacion areas consumo riesgo","Resume la relacion entre areas, consumo y riesgo."
"Areas del hotel","Seguimiento semanal","Que areas deberian recibir mayor seguimiento esta semana?"
"Categorias","Categorias con riesgo","Que categorias tienen mayor riesgo de desabastecimiento?"
"Categorias","Categorias con alertas","Que categorias concentran mas productos en alerta?"
"Categorias","Mayor consumo promedio","Que categorias muestran mayor consumo promedio?"
"Categorias","Estado categorias criticas","Resume el estado de las categorias mas criticas."
"Categorias","Categoria vulnerable","Cual es la categoria mas vulnerable hoy?"
"Analisis y recomendaciones","Mayor riesgo de agotarse","Que productos tienen mayor riesgo de agotarse pronto?"
"Analisis y recomendaciones","Decisiones de hoy","Que decisiones recomiendas tomar hoy con este inventario?"
"Analisis y recomendaciones","Plan corto","Dame un plan corto de reabastecimiento para hoy."
"Analisis y recomendaciones","Reducir quiebre","Dame recomendaciones operativas para reducir el riesgo de quiebre."
"Analisis y recomendaciones","Problemas de gestion","Que problemas ves en la gestion actual del inventario?"
"Analisis y recomendaciones","Indicadores diarios","Que indicadores deberian vigilarse diariamente?"
"Analisis y recomendaciones","Monitoreo cercano","Que productos requieren monitoreo mas cercano?"
"Analisis y recomendaciones","Cuellos de botella","Donde ves los principales cuellos de botella?"
"Comparativas","Stock vs minimo","Compara stock actual vs stock minimo en los productos criticos."
"Comparativas","Mas usados vs alertas","Compara los productos mas usados con los productos en alerta."
"Comparativas","Consumidos vs urgentes","Que diferencia hay entre los mas consumidos y los mas urgentes para reponer?"
"Comparativas","Mas usados coinciden","Los productos mas usados coinciden con los mas riesgosos?"
"Comparativas","Proveedores de criticos","Que proveedores soportan los productos mas usados y criticos?"
"Validacion","Puede estimar promedio","Con la informacion disponible puedes estimar consumo promedio?"
"Validacion","Que falta","Que informacion te falta para dar una mejor recomendacion?"
"Validacion","Limitaciones","Puedes responder con certeza o hay limitaciones en los datos?"
"Validacion","Conclusiones firmes","Que conclusiones si puedes afirmar y cuales no?"
"Validacion","Bloque mas util","Que bloque de datos del contexto fue mas util para tu analisis?"
